"Daily records of marine carbonate system dynamics and physicochemical conditions in waters adjacent to coral reef and seagrass ecosystems at Sire Bay, Lombok Island, March 2021.",,,,,,,,,,,,,,,,,,,,,,,
Station,Longitude,Latitude,Date,Time,T,Sal,pCO2atm,Wind Speed,PO4,NO3,SiO4,pCO2 in (matm),WAr in,CO2 flux,DO,DIC,TA,CO2atm,pH,Î”DIC,Î”TA,NEP,G
,,,,,(oC),(psu),(µatm),(m/s),(µgP/l),(µgN/l),(µgSi/l),,,(mmol/m2/d),(mg/l),(µmol/kg),(µmol/kg),(µatm),,,,,
Coral,116.12396,-8.35762,13-Mar-21,8,28.1350903,30.21,390,4.351363042,4.184,2.038,38.69,419.0154724,2.910843385,0.750423457,5.09,1811.87,2063.03,390,7.78,-150.88,-105.21,-78.96497033,20.22004688
Coral,116.12396,-8.35762,13-Mar-21,12,29.39916131,31.39,377,3.210438237,4.136,2.651,50.89,320.1704712,3.293858643,-0.745640956,7,1660.99,1957.82,377,7.97,77.98,63,42.82701596,-12.1078125
Coral,116.12396,-8.35762,13-Mar-21,16,28.98033815,31.18,380,2.154174567,8.846,2.832,34.36,369.2962646,3.132135168,-0.08574351,7.3,1738.97,2020.82,380,7.89,92.14,128.83,60.26157164,-24.75951563
Coral,116.12396,-8.35762,13-Mar-21,20,28.71342444,31.04,373,1.146219431,7.771,2.524,49.03,342.7114258,3.608050912,-0.145357179,6.5,1831.11,2149.65,373,7.98,-11.84,-116.53,-26.8012522,22.39560938
Coral,116.12396,-8.35762,13-Mar-21,24,28.56960919,30.22,417,0.04154575,4.837,6.885,49.037,515.6317749,2.504237419,0.022115687,6.4,1819.27,2033.12,417,7.83,47.2,21.33,22.21974369,-4.099359375
Coral,116.12396,-8.35762,14-Mar-21,4,28.42579394,30.08,374,2.530277697,6.31,4.482,32.71,612.925354,2.242919076,2.369111731,6.3,1866.47,2054.45,374,7.77,-76.19,-45.95,-40.48565861,8.831015625
Coral,116.12396,-8.35762,14-Mar-21,8,28.48947896,29.3,390,2.801308019,8.811,4.91,44.235,487.7843323,2.512854819,1.106983442,5.7,1790.28,2008.5,390,7.74,,,,
Seagrass,116.11394,-8.36595,14-Mar-21,8,28.30246768,30.41,390,2.801308019,5.538,4.725,44.738,1088.68042,1.998011254,7.937177157,6,2308.02,2452.12,390,7.61,-354.44,-199.09,-124.2708334,25.50840625
Seagrass,116.11394,-8.36595,14-Mar-21,12,29.99989947,31.36,350,1.556917242,4.366,1.458,45.738,433.8034973,3.537558605,0.477721282,7.35,1953.58,2253.03,350,7.96,-433.84,-242.03,-142.659315,31.01009375
Seagrass,116.11394,-8.36595,14-Mar-21,16,31.26433322,33.05,380,1.18571999,6.161,1.817,46.061,152.1552887,5.261065595,-0.968652529,10.2,1519.74,2011,380,8.21,285.01,175.06,96.43202753,-22.4295625
Seagrass,116.11394,-8.36595,14-Mar-21,20,30.93624544,32.86,353,0.97643991,6.346,4.59,46.753,301.5389709,4.292348885,-0.19011235,8.6,1804.75,2186.06,353,8.1,-77.15,-156.19,-39.5914189,20.01184375
Seagrass,116.11394,-8.36595,14-Mar-21,24,29.13034108,31.84,415,1.772504227,5.335,2.123,35.622,337.4502258,3.370450655,-0.512745985,5,1727.6,2029.87,415,7.99,182.75,55.27,54.42390223,-7.08146875
Seagrass,116.11394,-8.36595,15-Mar-21,4,29.2872485,30.97,446,2.558904002,12.93,2.319,52.753,753.456604,2.044886725,2.932888846,3.84,1910.35,2085.14,446,7.75,224.69,223.77,83.3144549,-28.67053125
Seagrass,116.11394,-8.36595,15-Mar-21,8,29.64357399,31.13,400,2.832222772,5.572,1.613,53.349,880.5079956,2.233218303,5.148242505,7.1,2135.04,2308.91,400,7.71,,,,
