"Daily records of marine carbonate system dynamics and physicochemical conditions in waters adjacent to coral reef and seagrass ecosystems at Pari Island, February 2021.",,,,,,,,,,,,,,,,,,,,,,
Station,Longitude,Latitude,Date,Time,Temp,Sal,DO,DIC,TA,CO2atm,pH,Wind Speed,PO4,NO3 ,SiO4,pCO2 in,WAr in,CO2 flux,ΔDIC,ΔTA,G,NEP
,,,,,oC,psu,mg/L,µmol/kg,µmol/kg,µatm,,m/s,µgP/l,µgN/l,µgSi/l,matm,,mmol/m2/d,,,,
Coral,106.6212,-5.86093,16-Feb-21,8.00,28.20,30.7623,5.9,1692.78,1958.81,385,7.85,5.282791417,6.8,3.276,32.76,356.0345459,2.967119313,-1.220698773,22.47,11.03,-2.8264375,15.56301127
Coral,106.6212,-5.86093,16-Feb-21,12.00,28.20,30.8974,5.6,1715.25,1969.84,391,7.88,2.80713377,4.338,2.833,28.33,380.4631042,2.882285541,-0.1201895339,-14.01,-25.9,6.636875,-13.69681047
Coral,106.6212,-5.86093,16-Feb-21,16.00,28.50,30.4368,7.6,1701.24,1943.94,411,7.82,4.461802292,5.769,3.672,36.72,399.1843872,2.747087402,-0.3177014653,43.69,31.38,-8.041125,30.74995147
Coral,106.6212,-5.86093,16-Feb-21,20.00,28.00,30.003,5.5,1744.93,1975.32,417,7.85,3.742524684,7.732,1.526,15.26,433.3084412,2.619987716,0.3061396471,-171.17,-162.68,41.68675,-129.7175146
Coral,106.6212,-5.86093,16-Feb-21,24.00,28.00,29.6972,6.6,1573.76,1812.64,397,7.87,3.910862938,7.293,30.595,30.595,346.0230713,2.606989268,-1.050976342,52.12,54.01,-13.8400625,41.60253884
Coral,106.6212,-5.86093,17-Feb-21,04.00,27.40,28.7935,8.1,1625.88,1866.65,391,7.6,4.916113668,4.998,6.125,61.25,339.2373352,2.716666407,-1.900767077,-22.78,-9.23,2.3651875,-12.13917042
Coral,106.6212,-5.86093,17-Feb-21,08.00,28.00,28.7369,7.7,1603.1,1857.42,394,7.87,2.798117888,3.342,2.961,29.61,313.9472046,2.887889551,-0.9274122166,,,,
Seagrass,106.60911,-5.86287,16-Feb-21,08.00,27.4,30.7448,6.7,1793.77,2011.8,397,7.85,6.463677261,23.683,2.862,28.62,526.1026001,2.298608239,18.51889499,-38.22,90.39,-11.58121875,-16.73155124
Seagrass,106.60911,-5.86287,16-Feb-21,12.00,28.4,30.7421,5.6,1755.55,2102.19,392,7.94,8.178523139,3.741,2.661,26.61,270.9992676,3.961462501,-18.59228633,-96.16,-98.51,12.62159375,-18.67030742
Seagrass,106.60911,-5.86287,16-Feb-21,16.00,28.1,30.4047,6.5,1659.39,2003.68,402,8,9.589712537,3.808,22.873,22.873,241.9394531,3.854863937,-41.48558481,104.09,-12.73,1.63103125,66.52761606
Seagrass,106.60911,-5.86287,16-Feb-21,20.00,27.3,30.7086,5.4,1763.48,1990.95,415,7.8,10.18048708,5.193,6.205,62.05,438.2268677,2.59356517,7.567748832,85.86,39.1,-5.0096875,19.44356367
Seagrass,106.60911,-5.86287,16-Feb-21,24.00,26.9,30.4047,5.3,1849.34,2030.05,385,7.63,8.997813901,3.736,5.268,52.68,585.6019897,2.161068143,44.92724841,-127.9,-155.26,19.8926875,-97.59431091
Seagrass,106.60911,-5.86287,17-Feb-21,04.00,26.2,28.7439,5.6,1721.44,1874.79,391,7.64,8.421454645,4.536,5.594,55.94,573.6376953,1.825895672,34.69133313,-42.97,-36.28,4.648375,-50.35077063
Seagrass,106.60911,-5.86287,17-Feb-21,08.00,26,30.8974,6.1,1678.47,1838.51,394,7.68,8.869993042,4.43,4.617,46.17,554.5654297,1.8297826,35.95078207,,,,
