//ODV Spreadsheet file : /home/proussel/Documents/OUTILS/CTD/chimie/conversion/EGEE4_CHIMIE_odv.txt
//Data treated : 2020-09-24T16:05:57
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/home/proussel/Documents/OUTILS/CTD/chimie/conversion/EGEE4_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
EGEE 4	st001c01	B	2006-11-18T17:00:00z	 -14.382	 +7.467		   0.0	11	 33.496	4.552	198.20	 0.04		0.053	  0.00	 1.36																										
EGEE 4	st001c01	B	2006-11-18T17:00:00z	 -14.382	 +7.467		1015.0	10	 34.757	3.182	138.40	 0.04		32.943	  2.16	26.37																										
EGEE 4	st001c01	B	2006-11-18T17:00:00z	 -14.382	 +7.467		1015.0	 9	 34.759	3.184	138.50	 0.04		33.016	  2.18	27.43																										
EGEE 4	st001c01	B	2006-11-18T17:00:00z	 -14.382	 +7.467		1015.0	 8	 34.763	3.177	138.20	 0.05		32.788	  2.18	27.53																										
EGEE 4	st001c01	B	2006-11-18T17:00:00z	 -14.382	 +7.467		1014.0	 7	 34.763	3.178	138.20	 0.04		32.952	  2.18	27.16																										
EGEE 4	st001c01	B	2006-11-18T17:00:00z	 -14.382	 +7.467		1014.0	 6	 34.760	3.179	138.20	 0.04		32.943	  2.16	27.10																										
EGEE 4	st001c01	B	2006-11-18T17:00:00z	 -14.382	 +7.467		1014.0	 5	 34.762	3.184	138.40	 0.03		32.892	  2.18	27.43																										
EGEE 4	st001c01	B	2006-11-18T17:00:00z	 -14.382	 +7.467		1014.0	 4	 34.760	3.184	138.50	 0.04		32.906	  2.17	27.07																										
EGEE 4	st001c01	B	2006-11-18T17:00:00z	 -14.382	 +7.467		1014.0	 3	 34.759	3.191	138.80	 0.05		32.898	  2.17	27.01																										
EGEE 4	st001c01	B	2006-11-18T17:00:00z	 -14.382	 +7.467		1014.0	 2	 34.759	3.182	138.40	 0.04		32.818	  2.18	27.74																										
