//ODV Spreadsheet file : \\iota1\irdcampagnes\PIRATA\PIRATA-DATA\CHEMISTRY-PIRATA\BTL\XLS\PIRATAFR15-EGEE3_CHIMIE_odv.txt
//Data treated : 2022-01-20T14:34:02
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>\\iota1\irdcampagnes\PIRATA\PIRATA-DATA\CHEMISTRY-PIRATA\BTL\XLS\PIRATAFR15-EGEE3_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		   0.0	22	 35.179	4.572	199.60	 0.00		0.006	  0.08	 1.01																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		  10.0	21	 35.184	4.565	199.30	 0.00		0.005	  0.06	 1.08																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		  20.0	20	 35.415	4.538	198.10	 0.02		0.002	  0.08	 1.23																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		  40.0	19	 35.980	3.716	161.90	 0.26		4.597	  0.43	 2.62																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		  60.0	18	 35.937	3.328	144.90	 0.23		11.192	  0.78	 3.86																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		  80.0	17	 35.810	3.552	154.70	 0.11		11.792	  0.82	 4.19																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		 100.0	16	 35.610	3.251	141.50	 0.05		15.177	  1.00	 5.47																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		 130.0	15	 35.539	3.219	140.20	 0.02		15.994	  1.08	 5.85																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		 159.0	14	 35.502	3.019	131.40	 0.02		17.319	  1.14	 6.24																										
EGEE 3	st001c01	B	2006-05-29T01:00:00z	  +0.006	 +0.012		 300.0	13	 34.970	1.644	 71.50	 0.01		31.826	  1.90	13.22																										
