//ODV Spreadsheet file : /home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR17-EGEE5_CHIMIE_odv.txt
//Data treated : 2020-09-24T15:44:44
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR17-EGEE5_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATA Fr17_EGEE 5	st001c01	B	2007-06-07T04:00:00z	  +6.008	 +2.502		   2.0	10	 34.231	4.412	192.80	 0.02		0.000	  0.01	 0.89																										
PIRATA Fr17_EGEE 5	st001c01	B	2007-06-07T04:00:00z	  +6.008	 +2.502		  10.0	 9	 34.231	4.370	191.00	 0.01		0.055	  0.01	 0.79																										
PIRATA Fr17_EGEE 5	st001c01	B	2007-06-07T04:00:00z	  +6.008	 +2.502		  20.0	 8	 34.243	4.374	191.10	 0.01		0.049	  0.02	 0.78																										
PIRATA Fr17_EGEE 5	st001c01	B	2007-06-07T04:00:00z	  +6.008	 +2.502		  40.0	 7	 35.239	4.357	190.20	 0.03		0.185	  0.09	 1.19																										
PIRATA Fr17_EGEE 5	st001c01	B	2007-06-07T04:00:00z	  +6.008	 +2.502		  60.0	 6	 36.208	3.515	153.10	 0.09		7.420	  0.60	 2.74																										
PIRATA Fr17_EGEE 5	st001c01	B	2007-06-07T04:00:00z	  +6.008	 +2.502		  79.0	 5	 36.178	3.518	153.20	 0.09		8.343	  0.65	 3.06																										
PIRATA Fr17_EGEE 5	st001c01	B	2007-06-07T04:00:00z	  +6.008	 +2.502		 100.0	 4	 36.135	3.489	151.90	 0.06		9.630	  0.72	 3.44																										
PIRATA Fr17_EGEE 5	st001c01	B	2007-06-07T04:00:00z	  +6.008	 +2.502		 296.0	 3	 35.029	1.346	 58.60	 0.01		31.710	  1.95	13.68																										
PIRATA Fr17_EGEE 5	st001c01	B	2007-06-07T04:00:00z	  +6.008	 +2.502		 504.0	 2	 34.680	2.194	 95.50	 0.01		34.575	  2.16	19.47																										
PIRATA Fr17_EGEE 5	st001c01	B	2007-06-07T04:00:00z	  +6.008	 +2.502		 504.0	 1	 34.681	2.179	 94.80	 0.00		34.579	  2.18	19.36																										
PIRATA Fr17_EGEE 5	st002c01	B	2007-06-07T10:00:00z	  +5.995	 +1.987		   0.8	10	 33.662	4.397	192.24	 0.01		0.038	  0.00	 0.54																										
PIRATA Fr17_EGEE 5	st002c01	B	2007-06-07T10:00:00z	  +5.995	 +1.987		   9.0	 9	 33.661	4.388	191.87	 0.01		0.047	  0.01	 0.54																										
PIRATA Fr17_EGEE 5	st002c01	B	2007-06-07T10:00:00z	  +5.995	 +1.987		  19.6	 8	 33.661	4.387	191.81	 0.00		0.039	  0.00	 0.66																										
PIRATA Fr17_EGEE 5	st002c01	B	2007-06-07T10:00:00z	  +5.995	 +1.987		  59.0	 7	 36.200	3.643	158.66	 0.08		7.593	  0.61	 2.46																										
PIRATA Fr17_EGEE 5	st002c01	B	2007-06-07T10:00:00z	  +5.995	 +1.987		  79.0	 6	 36.179	3.632	158.18	 0.09		7.981	  0.63	 2.18																										
PIRATA Fr17_EGEE 5	st002c01	B	2007-06-07T10:00:00z	  +5.995	 +1.987		  96.0	 5	 36.099	3.535	153.92	 0.04		9.227	  0.70	 2.58																										
PIRATA Fr17_EGEE 5	st002c01	B	2007-06-07T10:00:00z	  +5.995	 +1.987		 199.0	 4	 35.487	2.187	 95.19	 0.01		21.104	  1.38	 5.68																										
PIRATA Fr17_EGEE 5	st002c01	B	2007-06-07T10:00:00z	  +5.995	 +1.987		 300.2	 3	 34.947	1.396	 60.74	 0.02		32.786	  1.99	10.97																										
PIRATA Fr17_EGEE 5	st002c01	B	2007-06-07T10:00:00z	  +5.995	 +1.987		 300.5	 2	 34.946	1.375	 59.82	 0.00		33.360	  2.02	10.86																										
PIRATA Fr17_EGEE 5	st002c01	B	2007-06-07T10:00:00z	  +5.995	 +1.987		 506.0	 1	 34.636	2.306	100.30	 0.01		35.165	  2.21	15.71																										
PIRATA Fr17_EGEE 5	st003c01	B	2007-06-07T14:00:00z	  +6.000	 +1.503		   1.0	10	 33.398	4.415	193.10	 0.00		0.046	  0.02	 0.54																										
PIRATA Fr17_EGEE 5	st003c01	B	2007-06-07T14:00:00z	  +6.000	 +1.503		  10.0	 9	 33.398	4.408	192.80	 0.01		0.061	  0.01	 0.56																										
PIRATA Fr17_EGEE 5	st003c01	B	2007-06-07T14:00:00z	  +6.000	 +1.503		  20.0	 8	 34.431	4.419	193.10	 0.00		0.054	  0.02	 0.39																										
PIRATA Fr17_EGEE 5	st003c01	B	2007-06-07T14:00:00z	  +6.000	 +1.503		  40.0	 7	 36.248	4.176	182.00	 0.08		1.692	  0.30	 1.02																										
PIRATA Fr17_EGEE 5	st003c01	B	2007-06-07T14:00:00z	  +6.000	 +1.503		  40.0	 6	 36.268	4.072	177.40	 0.04		0.579	  0.24	 0.91																										
PIRATA Fr17_EGEE 5	st003c01	B	2007-06-07T14:00:00z	  +6.000	 +1.503		  60.0	 5	 36.189	3.604	157.00	 0.18		7.632	  0.63	 1.84																										
