//ODV Spreadsheet file : /media/irdcampagnes/PIRATA-DATA/CHEMISTRY-PIRATA/BTL/XLS/PIRATAFR18_CHIMIE_odv.txt
//Data treated : 2023-10-12T15:33:17
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA-DATA/CHEMISTRY-PIRATA/BTL/XLS/PIRATAFR18_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	ATXA [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA Fr18	st001c01	B	2008-09-04T16:00:00z	  -0.001	 +0.010		   1.0	 8	35.2855	4.565	199.20																																				
PIRATA Fr18	st001c01	B	2008-09-04T16:00:00z	  -0.001	 +0.010		  20.0	 7	35.2894	4.578	199.80																																				
PIRATA Fr18	st001c01	B	2008-09-04T16:00:00z	  -0.001	 +0.010		 299.0	 6	35.0986	1.630	 70.90																																				
PIRATA Fr18	st001c01	B	2008-09-04T16:00:00z	  -0.001	 +0.010		 501.0	 5	34.6396	2.605	113.30																																				
PIRATA Fr18	st001c01	B	2008-09-04T16:00:00z	  -0.001	 +0.010		 797.0	 4																																							
PIRATA Fr18	st001c01	B	2008-09-04T16:00:00z	  -0.001	 +0.010		1000.0	 3																																							
PIRATA Fr18	st001c01	B	2008-09-04T16:00:00z	  -0.001	 +0.010		2005.0	 2																																							
PIRATA Fr18	st001c01	B	2008-09-04T16:00:00z	  -0.001	 +0.010		2004.0	 1	34.9638	5.527	240.20																																				
PIRATA Fr18	st002c01	B	2008-09-04T18:30:00z	  -0.011	 +0.008		1000.0	 9	34.6163	3.434	149.30																																				
PIRATA Fr18	st002c01	B	2008-09-04T18:30:00z	  -0.011	 +0.008		1000.0	 8		3.401	147.80																																				
PIRATA Fr18	st002c01	B	2008-09-04T18:30:00z	  -0.011	 +0.008		1000.0	 7		3.438	149.40																																				
PIRATA Fr18	st002c01	B	2008-09-04T18:30:00z	  -0.011	 +0.008		1000.0	 6	34.6112	3.447	149.80																																				
PIRATA Fr18	st002c01	B	2008-09-04T18:30:00z	  -0.011	 +0.008		1000.0	 5	34.6120	3.234	140.60																																				
PIRATA Fr18	st002c01	B	2008-09-04T18:30:00z	  -0.011	 +0.008		1000.0	 4	34.6107	3.432	149.20																																				
PIRATA Fr18	st002c01	B	2008-09-04T18:30:00z	  -0.011	 +0.008		1000.0	 3	34.6135	3.440	149.50																																				
PIRATA Fr18	st002c01	B	2008-09-04T18:30:00z	  -0.011	 +0.008		1000.0	 2	34.6985	3.284	142.80																																				
PIRATA Fr18	st002c01	B	2008-09-04T18:30:00z	  -0.011	 +0.008		1000.0	 1	34.6150	3.279	142.50																																				
PIRATA Fr18	st003c01	B	2008-09-15T04:00:00z	  -9.976	 -9.969		   2.1	 8	36.2822	4.670	203.50																																				
PIRATA Fr18	st003c01	B	2008-09-15T04:00:00z	  -9.976	 -9.969		  10.0	 7	36.2824	4.648	202.60																																				
PIRATA Fr18	st003c01	B	2008-09-15T04:00:00z	  -9.976	 -9.969		 100.0	 6	36.3735	4.121	179.50																																				
