//ODV Spreadsheet file : /home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR26_CHIMIE_odv.txt
//Data treated : 2020-09-24T13:35:56
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/home/proussel/Documents/OUTILS/CTD/chimie/conversion/PIRATAFR26_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATA Fr26	st001c01	B	2016-03-09T19:43:00z	 -23.000	+11.466		2021.0	11	 34.967	5.470	237.80	 0.00	 19.400	19.400	  1.43	22.90																										
PIRATA Fr26	st001c01	B	2016-03-09T19:43:00z	 -23.000	+11.466		2021.0	10	 34.965	5.474	238.00	 0.00	 19.300	19.300	  1.43	22.80																										
PIRATA Fr26	st001c01	B	2016-03-09T19:43:00z	 -23.000	+11.466		2021.0	 9	 34.965	5.470	237.80	 0.00	 19.400	19.400	  1.44	23.00																										
PIRATA Fr26	st001c01	B	2016-03-09T19:43:00z	 -23.000	+11.466		2021.0	 8	 34.965	5.473	237.90	 0.00	 19.400	19.400	  1.44	22.90																										
PIRATA Fr26	st001c01	B	2016-03-09T19:43:00z	 -23.000	+11.466		2021.0	 7	 34.967	5.470	237.80	 0.00	 19.500	19.500	  1.44	23.00																										
PIRATA Fr26	st001c01	B	2016-03-09T19:43:00z	 -23.000	+11.466		2021.0	 6	 34.964	5.474	238.00	 0.00	 19.600	19.600	  1.43	23.20																										
PIRATA Fr26	st001c01	B	2016-03-09T19:43:00z	 -23.000	+11.466		2021.0	 5	 34.965	5.479	238.20	 0.00	 19.500	19.500	  1.44	23.00																										
PIRATA Fr26	st001c01	B	2016-03-09T19:43:00z	 -23.000	+11.466		2021.0	 4	 34.967	5.468	237.70	 0.00	 19.500	19.500	  1.42	22.90																										
PIRATA Fr26	st001c01	B	2016-03-09T19:43:00z	 -23.000	+11.466		2021.0	 3	 34.965	5.472	237.80	 0.00	 19.400	19.400	  1.41	22.90																										
PIRATA Fr26	st001c01	B	2016-03-09T19:43:00z	 -23.000	+11.466		2021.0	 2	 34.964	5.464	237.50	 0.00	 19.500	19.500	  1.36	22.90																										
PIRATA Fr26	st001c01	B	2016-03-09T19:43:00z	 -23.000	+11.466		2021.0	 1	 34.964	5.470	237.80	 0.00	 19.500	19.500	  1.25	22.20																										
PIRATA Fr26	st002c01	B	2016-03-11T22:00:00z	 -23.000	 +2.000		   2.1	11	 35.455	4.519	197.40	 0.00	  0.100	0.100	  0.00	 0.60	0.0078	0.0092	0.0029	0.0095	0.0108			0.0010	0.0262	0.0121			0.1582		0.0039	0.0065			0.0258		0.0471	0.1125				
PIRATA Fr26	st002c01	B	2016-03-11T22:00:00z	 -23.000	 +2.000		   9.7	10	 35.551	4.532	197.90																															
