//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR28/data-processing/CHIMIE/PIRATAFR28_CHIMIE_odv.txt
//Data treated : 2024-02-19T14:10:47
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR28/data-processing/CHIMIE/PIRATAFR28_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	ATXA [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA Fr28	st001c01	B	2018-03-01T19:19:38z	 -22.992	+11.481		4070.0	11	34.8972	5.575	242.41	 0.02	 22.400	22.400	  1.40	44.90																															
PIRATA Fr28	st001c01	B	2018-03-01T19:19:38z	 -22.992	+11.481		4067.0	10	34.8959	5.579	242.55	 0.02	 22.400	22.300	  1.41	44.90																															
PIRATA Fr28	st001c01	B	2018-03-01T19:19:38z	 -22.992	+11.481		4068.0	 9	34.8939	5.572	242.23	 0.03	 22.300	22.300	  1.41	44.80																															
PIRATA Fr28	st001c01	B	2018-03-01T19:19:38z	 -22.992	+11.481		4067.0	 8	34.8914	5.575	242.36	 0.03	 22.300	22.300	  1.41	44.80																															
PIRATA Fr28	st001c01	B	2018-03-01T19:19:38z	 -22.992	+11.481		4066.0	 7	34.8898	5.580	242.59	 0.03	 22.400	22.400	  1.41	44.80																															
PIRATA Fr28	st001c01	B	2018-03-01T19:19:38z	 -22.992	+11.481		4064.0	 6	34.8869	5.580	242.55	 0.01	 22.500	22.500	  1.38	44.70																															
PIRATA Fr28	st001c01	B	2018-03-01T19:19:38z	 -22.992	+11.481		4064.0	 5	34.8894	5.571	242.15	 0.06	 22.300	22.300	  1.42	44.90																															
PIRATA Fr28	st001c01	B	2018-03-01T19:19:38z	 -22.992	+11.481		4064.0	 4	34.8892	5.580	242.55	 0.01	 22.400	22.400	  1.42	45.00																															
PIRATA Fr28	st001c01	B	2018-03-01T19:19:38z	 -22.992	+11.481		4062.0	 3	34.8878	5.578	242.46	 0.02	 22.400	22.400	  1.43	45.00																															
PIRATA Fr28	st001c01	B	2018-03-01T19:19:38z	 -22.992	+11.481		4062.0	 2	34.8905	5.568	242.01	 0.01	 22.500	22.500	  1.40	44.70																															
PIRATA Fr28	st001c01	B	2018-03-01T19:19:38z	 -22.992	+11.481		4060.0	 1	34.8881	5.575	242.28	 0.02	 22.500	22.500	  1.42	44.40																															
PIRATA Fr28	st002c01	B	2018-03-04T18:03:25z	 -23.042	 +0.002		   1.1	11	35.7820	4.600	200.82	 0.01	  0.000	0.000	  0.07	 1.00	0.0028	0.0076	0.0116	0.0046	0.0042			0.0018	0.0162	0.0093		0.0008	0.0963		0.0052	0.0083		0.0151			0.0585	0.0918									
PIRATA Fr28	st002c01	B	2018-03-04T18:03:25z	 -23.042	 +0.002		  19.8	10	36.0448	4.669	203.76	 0.01	  0.000	0.000	  0.08	 1.04	0.0049	0.0093	0.0085	0.0057	0.0053			0.0011	0.0227	0.0080		0.0008	0.0976		0.0070	0.0098		0.0149			0.0660	0.0954									
PIRATA Fr28	st002c01	B	2018-03-04T18:03:25z	 -23.042	 +0.002		  40.5	 9	36.1286	4.466	194.83	 0.01	  0.010	0.000	  0.10	 1.30	0.0191	0.0303	0.0162	0.0226	0.0086	0.0041	0.0053	0.0045	0.0651	0.0091	0.0036		0.1534		0.0269	0.0697		0.0563			0.1991	0.2636		0.0045							
PIRATA Fr28	st002c01	B	2018-03-04T18:03:25z	 -23.042	 +0.002		  59.0	 8	36.4723	4.116	179.39	 0.27	  2.250	1.970	  0.27	 1.59	0.0646	0.0685	0.0144	0.0854	0.0263	0.0088	0.0072	0.0042	0.1208	0.0095	0.0135		0.0570		0.1376	0.1753		0.0661			0.1850	0.3927		0.0060							
PIRATA Fr28	st002c01	B	2018-03-04T18:03:25z	 -23.042	 +0.002		  80.0	 7	36.0217	3.985	173.54	 0.06	  8.610	8.550	  0.64	 3.32	0.0237	0.0168		0.0378	0.0071				0.0407	0.0028			0.0124		0.0711	0.0354		0.0238			0.0537	0.1063		0.0025							
PIRATA Fr28	st002c01	B	2018-03-04T18:03:25z	 -23.042	 +0.002		 100.8	 6	35.6465	3.853	167.74	 0.04	 12.500	12.400	  0.84	 4.85	0.0119	0.0065		0.0166	0.0035				0.0231	0.0014			0.0034		0.0236	0.0157		0.0095			0.0154	0.0517									
PIRATA Fr28	st002c01	B	2018-03-04T18:03:25z	 -23.042	 +0.002		 403.0	 5	34.7647	2.425	105.50																																				
PIRATA Fr28	st002c01	B	2018-03-04T18:03:25z	 -23.042	 +0.002		 805.5	 4	34.5229	2.358	102.57																																				
PIRATA Fr28	st002c01	B	2018-03-04T18:03:25z	 -23.042	 +0.002		1212.0	 3	34.8237	4.176	181.56																																				
PIRATA Fr28	st002c01	B	2018-03-04T18:03:25z	 -23.042	 +0.002		2021.0	 2	34.9709	5.745	249.75																																				
PIRATA Fr28	st002c01	B	2018-03-04T18:03:25z	 -23.042	 +0.002		2021.0	 1	34.9671	5.754	250.11																																				
PIRATA Fr28	st003c01	B	2018-03-09T05:54:17z	 -10.000	 -9.904		   1.0	11	36.5272	4.777	208.32	 0.01	  0.020	0.010	  0.17	 1.07	0.0029	0.0045		0.0037	0.0032				0.0138	0.0029			0.0638		0.0030	0.0032		0.0112			0.0384	0.0461									
PIRATA Fr28	st003c01	B	2018-03-09T05:54:17z	 -10.000	 -9.904		  19.0	10	36.5356	4.621	201.51	 0.01	  0.020	0.010	  0.16	 1.10	0.0026	0.0041		0.0038	0.0030				0.0133	0.0028			0.0598		0.0031	0.0029		0.0090			0.0351	0.0453									
