//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR29/data-final/CHIMIE/PIRATAFR29_CHIMIE_odv.txt
//Data treated : 2024-04-15T15:25:16
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR29/data-final/CHIMIE/PIRATAFR29_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	ATXA [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4073.0	19	34.8907	5.581	242.76	 0.00	 22.210	22.210	  1.37	46.56																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4073.0	18	34.8897	5.536	240.79	 0.00	 22.300	22.300	  1.41	46.66																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4072.0	17	34.8897	5.600	243.56	 0.00	 22.570	22.570	  1.41	46.63																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4073.0	16	34.8895	5.507	239.51	 0.01	 22.130	22.120	  1.40	46.71																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4073.0	15	34.8948	5.529	240.47	 0.19	 22.080	21.900	  1.38	46.16																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4073.0	14	34.8914	5.555	241.57	 0.01	 22.490	22.490	  1.40	46.70																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4073.0	13	34.8898	5.572	242.29	 0.00	 22.390	22.390	  1.41	46.07																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4072.0	12	34.8909	5.543	241.05	 0.00	 22.310	22.310	  1.38	46.69																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4072.0	11	34.8903	5.565	241.99	 0.01	 22.400	22.390	  1.41	46.68																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4071.0	10	34.8907	5.540	240.90	 0.00	 22.600	22.600	  1.45	46.64																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4072.0	 9	34.8909	5.553	241.45	 0.00	 22.610	22.610	  1.43	46.05																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4071.0	 8	34.8926	5.554	241.48	 0.00	 22.540	22.540	  1.43	46.51																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4067.0	 7	34.8935	5.577	242.47	 0.01	 22.420	22.410	  1.43	46.55																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4068.0	 6	34.8898	5.554	241.46	 0.00	 22.430	22.430	  1.48	46.90																															
PIRATA Fr29	st001c01	B	2019-03-02T17:46:13z	 -23.343	+12.493		4067.0	 5	34.8910	5.544	241.01	 0.01	 22.330	22.320	  1.45	46.79																															
