//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR33/data-final/CHIMIE/PIRATA-FR33_CHIMIE_odv.txt
//Data treated : 2025-01-14T11:21:11
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR33/data-final/CHIMIE/PIRATA-FR33_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4032.0	21																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4032.0	20																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4033.0	19																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4032.0	18																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4032.0	17																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4033.0	16																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4033.0	15																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4033.0	14																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4033.0	13																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4033.0	12																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4033.0	11																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4033.0	10																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4034.0	 9																																			2.3730				
PIRATA-FR33	st002c01	B	2023-03-06T18:52:58z	 -22.983	+11.748		4034.0	 8																																			2.3730				
