//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR13_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:11:48
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR13_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR13	1	24-May-2005T13:30:00Z	 -17.455	+14.431	 26.822	 35.837		 0.03	  0.000	0.033	  0.10																												
PIRATAFR13	2	24-May-2005T14:30:00Z	 -17.523	+14.284	 27.051	 35.866		 0.03	  0.000	0.026	  0.09	 0.52																											
PIRATAFR13	3	24-May-2005T15:30:00Z	 -17.581	+14.138	 27.161	 35.865		 0.04	  0.000	0.037	  0.17	 0.29																											
PIRATAFR13	4	24-May-2005T16:32:00Z	 -17.645	+13.966	 27.188	 35.859		 0.03	  0.000	0.025	  0.10	 0.34																											
PIRATAFR13	5	24-May-2005T17:30:00Z	 -17.698	+13.829	 27.162	 35.862		 0.03	  0.000	0.029	  0.09	 0.28																											
PIRATAFR13	6	24-May-2005T18:30:00Z	 -17.744	+13.681	 27.197	 35.864		 0.04	  0.000	0.039	  0.09	 0.36																											
PIRATAFR13	7	24-May-2005T19:30:00Z	 -17.812	+13.534	 27.070	 35.878		 0.03	  0.000	0.028	  0.09	 0.40																											
PIRATAFR13	8	24-May-2005T20:30:00Z	 -17.868	+13.396	 27.184	 35.849		 0.03	  0.000	0.033	  0.10	 0.31																											
PIRATAFR13	9	24-May-2005T21:30:00Z	 -17.923	+13.254	 27.662	 35.854		 0.03	  0.000	0.025	  0.08	 0.09																											
PIRATAFR13	10	24-May-2005T22:30:00Z	 -17.981	+13.106	 27.569	 35.786		 0.02	  0.000	0.023	  0.08	 0.33																											
PIRATAFR13	11	24-May-2005T23:30:00Z	 -18.038	+12.961	 27.609	 35.777		 0.04	  0.000	0.039	  0.11	 0.40																											
PIRATAFR13	12	25-May-2005T00:30:00Z	 -18.093	+12.819	 28.523	 35.816		 0.03	  0.000	0.034	  0.04	 0.36																											
