//ODV Spreadsheet file : /media/irdbrest_ftp/pirata/pirata-data/chemistry/ODV/surface/PIRATAFR15-EGEE3_CHIMIE_odv.txt
//Data treated : 2025-01-14T17:17:29
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>PIRATAFR15-EGEE3_CHIMIE_SURFACE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Sample	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	SSTP [°C]	SSSP [PSU]	SSS [PSU]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]
PIRATAFR15-EGEE3	1	27-May-2006T01:15:00Z	  +1.900	 +4.933	 28.300	 35.070	 34.718	 0.06	  0.294	0.351	  0.01	 0.90																											
PIRATAFR15-EGEE3	2	27-May-2006T06:41:00Z	  +1.547	 +4.017	 29.000	 34.904	 34.569	 0.05	  0.272	0.322	  0.01	 0.71																											
PIRATAFR15-EGEE3	3	27-May-2006T12:41:00Z	  +1.147	 +2.967	 29.200	 34.940	 34.561	 0.05	  0.259	0.312	  0.02	 0.66																											
PIRATAFR15-EGEE3	4	27-May-2006T18:30:00Z	  +0.763	 +1.967	 29.200	 35.015	 34.607	 0.05	  0.235	0.283	  0.03	 0.62																											
PIRATAFR15-EGEE3	5	28-May-2006T00:39:00Z	  +0.378	 +0.983	 28.900	 35.204	 34.843	 0.04	  0.219	0.264	  0.02	 0.70																											
PIRATAFR15-EGEE3	6	30-May-2006T12:53:00Z	  -1.259	 +0.000	 27.080	 35.264	 35.239	 0.05	  0.258	0.312	  0.12	 1.31																											
PIRATAFR15-EGEE3	7	30-May-2006T20:09:00Z	  -2.501	 -0.002	 27.200	 35.209	 35.185	 0.07	  0.238	0.312	  0.10	 1.14																											
PIRATAFR15-EGEE3	8	31-May-2006T01:38:00Z	  -3.772	 -0.000	 27.200	 35.136	 35.104	 0.05	  0.227	0.273	  0.09	 0.87																											
PIRATAFR15-EGEE3	9	31-May-2006T07:48:00Z	  -5.027	 -0.004	 27.100	 35.189	 35.169	 0.05	  0.240	0.293	  0.08	 0.82																											
PIRATAFR15-EGEE3	10	31-May-2006T13:37:00Z	  -6.253	 -0.000	 26.600	 35.590	 35.556	 0.06	  0.256	0.312	  0.08	 0.99																											
