EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,DATETIME,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA,REFTMP,REFTMP_FLAG_W
33RO20100308, A13.5,1,1,24,11714,2,20100314,2010-03-14 9:10,910,-54.0007,0.0002,2545,5.6,5.6,2.3373,33.7458,2,33.7449,2,329.1,2,328.6,2,24.03,2,23.23,2,0.28,2,1.55,2,5.626,2,3.012,2,2.344,2,7.087,3,2149.7,6,2282.5,2,752.2,2,20,7.7264,2,25,45.03,2,26.33,2,,1,,1,,9,-91.2,2,2.5,1.58,2,2.337,2.3364,2
33RO20100308, A13.5,1,1,23,11713,2,20100314,2010-03-14 9:10,910,-54.0007,0.0002,2545,30,30,2.3393,33.7456,2,,9,330.2,2,329.2,2,23.64,2,23.04,2,0.33,2,1.56,2,5.616,6,3.007,6,2.479,6,7.224,3,2151,2,2280.2,2,754.3,2,20,7.726,2,25,43.28,2,26.42,2,,1,,1,,9,-88.4,2,2.5,1.53,2,2.3377,2.3387,2
33RO20100308, A13.5,1,1,22,11712,2,20100314,2010-03-14 9:10,910,-54.0007,0.0002,2545,59.6,59.6,2.3249,33.746,2,33.747,2,328.9,2,329.3,6,23.88,2,23.12,2,0.33,2,1.56,2,5.635,2,3.019,2,2.506,2,7.345,3,2148.5,2,2280.6,2,777.2,2,20,7.7261,2,25,42.24,2,25.81,2,,1,,1,,9,-90,2,2.6,1.56,2,2.3217,2.3248,2
33RO20100308, A13.5,1,1,21,11010,2,20100314,2010-03-14 9:10,910,-54.0007,0.0002,2545,99.7,99.7,0.8735,33.8568,2,,9,313.2,2,318.3,2,-9,9,-9,9,-9,9,-9,9,5.668,2,3,2,2.535,2,7.068,3,2176.1,2,2286,2,877.6,2,20,7.6681,2,25,40.99,2,30.41,2,,1,,1,,9,-92.1,2,2.5,1.26,2,0.8693,0.8767,3
33RO20100308, A13.5,1,1,20,11715,2,20100314,2010-03-14 9:10,910,-54.0007,0.0002,2545,150.1,150.1,0.2458,34.1994,2,34.2104,2,256.8,2,256.3,2,66.18,2,32.34,2,0.06,2,2.28,2,3.926,2,2.052,2,1.5,2,4.742,3,2219.9,2,2305.3,2,1131.2,2,20,7.583,2,25,40.43,2,34.39,2,,1,,1,,9,-115,2,2.8,0.75,2,0.2401,0.2479,2
33RO20100308, A13.5,1,1,19,11007,2,20100314,2010-03-14 9:10,910,-54.0007,0.0002,2545,200.3,200.3,1.0544,34.4228,2,34.4213,2,211.7,2,209.9,2,78.31,2,33.95,2,0.06,2,2.39,2,2.389,2,1.229,2,0.731,2,2.803,3,2244.8,2,2320.5,2,1216,2,20,7.5539,2,25,39.94,2,35.64,2,,1,,1,,9,-132,2,2.6,0.5,2,1.0453,1.0537,2
33RO20100308, A13.5,1,1,18,11710,2,20100314,2010-03-14 9:10,910,-54.0007,0.0002,2545,251.4,251.4,1.4835,34.5449,2,34.5423,2,188.5,2,187.4,2,85.24,2,34.38,2,0.05,2,2.42,2,1.428,2,0.732,2,0.456,2,1.677,3,2255.9,2,2329.8,2,1238,2,20,7.547,2,25,39.06,2,36.03,2,,1,,1,,9,-141.2,2,2.6,0.46,2,1.471,1.485,2
33RO20100308, A13.5,1,1,17,11023,3,20100314,2010-03-14 9:10,910,-54.0007,0.0002,2545,299.3,299.3,1.6204,34.5982,2,34.5947,2,182.5,2,,9,-9,9,-9,9,-9,9,-9,9,,9,,9,,9,,9,,9,,9,,9,,7.5615,4,25,,9,,9,,9,,9,,9,,9,,,9,1.6051,1.6187,2
33RO20100308, A13.5,1,1,16,11709,2,20100314,2010-03-14 9:10,910,-54.0007,0.0002,2545,399.8,399.8,1.6726,34.64,2,34.6393,2,181.2,2,180.1,2,90.22,2,33.66,2,0.05,2,2.37,2,0.79,2,0.395,2,0.207,2,0.964,3,2259.7,2,2338.9,2,1189.9,2,20,7.5605,2,25,38.59,2,35.78,2,,1,,1,,9,-150.2,2,2.5,0.39,2,1.6516,1.6717,2
33RO20100308, A13.5,1,1,15,11006,2,20100314,2010-03-14 9:10,910,-54.0007,0.0002,2545,500.5,500.5,1.6447,34.6776,2,34.677,2,183.9,2,183.6,2,92.75,2,32.9,2,0.05,2,2.31,2,0.595,2,0.3,2,0.152,2,0.752,3,2257.8,2,2342.3,2,1154.7,2,20,7.5751,2,25,38.7,2,34.71,2,,1,,1,,9,-155.2,2,2.8,0.47,2,1.618,1.6446,2
